"tweet","avg_perceived","avg_sentiment","viewed_all","poli_affil","is_moderate","co_cross"
1,4.4444444,3.5999999,23,"left","no","co"
1,4.5,3.625,23,"right","no","co"
1,4.5,3.1666667,23,"left","yes","co"
1,3.75,3.5,23,"right","yes","cross"
2,5.4000001,4.4000001,17,"left","no","co"
2,2.7142856,3.4285715,17,"right","no","cross"
2,5.5,3.6666667,17,"left","yes","co"
2,1.6666666,3.3333333,17,"right","yes","cross"
4,3.5999999,3,22,"left","no","cross"
4,4.25,3.8333333,22,"right","no","co"
4,4.3333333,3.1666667,22,"left","yes","co"
4,3.2,2.5999999,22,"right","yes","cross"
5,4.2,4.25,18,"left","no","co"
5,3.5,3.7,18,"right","no","cross"
5,4.5,4.25,18,"left","yes","co"
5,3,4,18,"right","yes","cross"
6,4.25,4.1999998,21,"left","no","co"
6,3,4,21,"right","no","cross"
6,3.25,3.8571429,21,"left","yes","cross"
6,3.6666667,4,21,"right","yes","cross"
7,5,4.4285712,16,"left","no","co"
7,2.5555556,3.4444444,16,"right","no","cross"
7,3.6666665,5.3333335,16,"left","yes","cross"
7,2.25,3.5,16,"right","yes","cross"
8,2.6666665,2.0625,25,"left","no","cross"
8,4.5714288,3.7777777,25,"right","no","co"
8,3.1666665,2,25,"left","yes","cross"
8,3.3333333,2.8,25,"right","yes","cross"
10,3.25,4.1333332,29,"left","no","cross"
10,4.125,3.9285715,29,"right","no","co"
10,4.5,3.6666667,29,"left","yes","co"
10,3.2,3.6666667,29,"right","yes","cross"
11,4.3333333,3.6153846,21,"left","no","co"
11,2.7142856,3.5,21,"right","no","cross"
11,4.3333333,3.6666667,21,"left","yes","co"
11,3.25,3,21,"right","yes","cross"
13,5.625,6,22,"left","no","co"
13,2.4285715,2.7857144,22,"right","no","cross"
13,6,6,22,"left","yes","co"
13,2.8333333,3,22,"right","yes","cross"
14,4.375,4.2222223,21,"left","no","co"
14,3,3.75,21,"right","no","cross"
14,4.6666667,4,21,"left","yes","co"
14,2.7142856,3.625,21,"right","yes","cross"
15,5,4.7142859,21,"left","no","co"
15,2.6428571,3.0714285,21,"right","no","cross"
15,5.3333333,4.6666665,21,"left","yes","co"
15,2.5,3,21,"right","yes","cross"
18,4.3,4,17,"left","no","co"
18,2.8,3,17,"right","no","cross"
18,3,2.75,17,"left","yes","cross"
18,2,3,17,"right","yes","cross"
21,4.4166667,4.1666665,21,"left","no","co"
21,4.25,4.6666665,21,"right","no","co"
21,4.3333333,4.3333335,21,"left","yes","co"
21,4.3333335,4.3333335,21,"right","yes","co"
22,5.3076923,4.8461537,24,"left","no","co"
22,1.8181819,2.3636363,24,"right","no","cross"
22,4.6666667,3.6666667,24,"left","yes","co"
22,1.2857143,2.2857144,24,"right","yes","cross"
23,5.3076923,5.8461537,19,"left","no","co"
23,2,2.5,19,"right","no","cross"
23,5.2857144,6,19,"left","yes","co"
23,1.3333334,2.6666667,19,"right","yes","cross"
24,4.6666667,3.9285715,23,"left","no","co"
24,5,4.5555553,23,"right","no","co"
24,4.6666667,4.0999999,23,"left","yes","co"
24,5,4.1999998,23,"right","yes","co"
27,5.0999999,4.181818,23,"left","no","co"
27,2.7777777,3.1666667,23,"right","no","cross"
27,5.3333333,3.75,23,"left","yes","co"
27,3.4000001,3.4285715,23,"right","yes","cross"
29,2.3333335,4.375,29,"left","no","cross"
29,5,4.3076925,29,"right","no","co"
29,2,4.4444447,29,"left","yes","cross"
29,4.75,4.2222223,29,"right","yes","co"
33,4.2,4.375,16,"left","no","co"
33,3.75,4.5,16,"right","no","cross"
33,4.6666667,4.8000002,16,"left","yes","co"
33,3.5,4.1999998,16,"right","yes","cross"
37,6.5555556,5.6666665,20,"left","no","co"
37,2.3,2.6363637,20,"right","no","cross"
37,7,6,20,"left","yes","co"
37,2,2.75,20,"right","yes","cross"
40,5.4166667,5.5833335,21,"left","no","co"
40,1.2222222,1.4444444,21,"right","no","cross"
40,5.3333333,6,21,"left","yes","co"
40,1.5,1.25,21,"right","yes","cross"
46,4.4285715,3.9285715,23,"left","no","co"
46,4.125,4.7777777,23,"right","no","co"
46,4.7142856,4.4285712,23,"left","yes","co"
46,3.8333333,5.5,23,"right","yes","cross"
48,4.8333333,4.1666665,27,"left","no","co"
48,4.4285712,3.5999999,27,"right","no","co"
48,4.5,3.5,27,"left","yes","co"
48,4.5714288,3.875,27,"right","yes","co"
49,3.090909,3,16,"left","no","cross"
49,2.8,2.2,16,"right","no","cross"
49,3,3.4000001,16,"left","yes","cross"
49,5,2.5,16,"right","yes","co"
51,4.75,4.625,14,"left","no","co"
51,2.3333333,2.6666667,14,"right","no","cross"
51,4.75,5,14,"left","yes","co"
51,2,2,14,"right","yes","cross"
52,4.875,3.25,16,"left","no","co"
52,2,2.375,16,"right","no","cross"
52,5.5,3.75,16,"left","yes","co"
52,1.3333334,1,16,"right","yes","cross"
54,4.375,5.625,15,"left","no","co"
54,1.1428572,1.1428572,15,"right","no","cross"
54,4.3333333,6.3333335,15,"left","yes","co"
54,1.25,1,15,"right","yes","cross"
55,6.0833334,3.5833333,19,"left","no","co"
55,1.6666666,1.5714285,19,"right","no","cross"
55,6.1111112,3.5555556,19,"left","yes","co"
55,1.75,1.75,19,"right","yes","cross"
58,5.7,5,20,"left","no","co"
58,2,2.5999999,20,"right","no","cross"
58,5.8333333,5.5,20,"left","yes","co"
58,2,2.8571429,20,"right","yes","cross"
60,5,5.75,19,"left","no","co"
60,3.1111112,4.7272725,19,"right","no","cross"
60,4.5,5.25,19,"left","yes","co"
60,3.25,4.5999999,19,"right","yes","cross"
63,4.8,5.181818,22,"left","no","co"
63,2.7777777,3.3636363,22,"right","no","cross"
63,4.75,5,22,"left","yes","co"
63,3.25,3.3333333,22,"right","yes","cross"
64,5.8181818,6.181818,20,"left","no","co"
64,2,2.5555556,20,"right","no","cross"
64,6.6,6,20,"left","yes","co"
64,2.3333333,3.3333333,20,"right","yes","cross"
65,5.2857144,3.875,17,"left","no","co"
65,3.3333333,2.8888888,17,"right","no","cross"
65,4.3333333,3.25,17,"left","yes","co"
65,4.25,3.75,17,"right","yes","co"
66,3,4.3846154,32,"left","no","cross"
66,5.2857141,4.4736843,32,"right","no","co"
66,3,4.7142859,32,"left","yes","cross"
66,5,4.6363635,32,"right","yes","co"
67,4.8,3.2,15,"left","no","co"
67,1.1,1.8,15,"right","no","cross"
67,4.3333333,3,15,"left","yes","co"
67,1.25,2,15,"right","yes","cross"
68,5,4.4285712,15,"left","no","co"
68,3.5999999,4,15,"right","no","cross"
68,4.3333333,4,15,"left","yes","co"
68,4.5,4.25,15,"right","yes","co"
69,4.8333333,5,22,"left","no","co"
69,2.6666667,2.6666667,22,"right","no","cross"
69,4.875,5.2222223,22,"left","yes","co"
69,2.5999999,2.4000001,22,"right","yes","cross"
72,4.75,4,28,"left","no","co"
72,3.3333333,2.875,28,"right","no","cross"
72,3.3333335,4,28,"left","yes","cross"
72,4.25,3.1111112,28,"right","yes","co"
74,5.9473684,5.0526314,30,"left","no","co"
74,1.2727273,1.4545455,30,"right","no","cross"
74,6.4,4.4000001,30,"left","yes","co"
74,1.1428572,1,30,"right","yes","cross"
77,3.375,2.625,21,"left","no","cross"
77,4.2307692,3.2307692,21,"right","no","co"
77,3.5,2.5,21,"left","yes","cross"
77,3.8333333,3,21,"right","yes","cross"
79,5.8333333,3.5,18,"left","no","co"
79,1.4166666,1.6666666,18,"right","no","cross"
79,5.6666667,3.3333333,18,"left","yes","co"
79,1,1.3333334,18,"right","yes","cross"
88,4.4444444,5.4444447,15,"left","no","co"
88,1.5,3,15,"right","no","cross"
88,4.3333333,5.8333335,15,"left","yes","co"
88,1.3333334,2.6666667,15,"right","yes","cross"
91,3.75,3.6666667,16,"left","no","cross"
91,5.25,3.7142856,16,"right","no","co"
91,4.6666667,3.4000001,16,"left","yes","co"
91,5.6666665,4,16,"right","yes","co"
92,5.6666667,5.0714288,26,"left","no","co"
92,2.25,2.0833333,26,"right","no","cross"
92,5.6666667,4.75,26,"left","yes","co"
92,2.5,2.25,26,"right","yes","cross"
93,5,4.7142859,14,"left","no","co"
93,2,2.2857144,14,"right","no","cross"
93,5.25,5.25,14,"left","yes","co"
93,1.5,2.5,14,"right","yes","cross"
95,5.6666667,5.5,27,"left","no","co"
95,2,2.4000001,27,"right","no","cross"
95,6.6666666,6,27,"left","yes","co"
95,2,3.5,27,"right","yes","cross"
101,5.5714285,5.4285712,18,"left","no","co"
101,4.090909,3.3636363,18,"right","no","co"
101,5.5,5.25,18,"left","yes","co"
101,3.6666667,2.6666667,18,"right","yes","cross"
103,3.5,4.3846154,31,"left","no","cross"
103,5.5,4.0555553,31,"right","no","co"
103,3,4.4285712,31,"left","yes","cross"
103,5,3.8181818,31,"right","yes","co"
108,4.625,4.375,15,"left","no","co"
108,2.2857144,3.2857144,15,"right","no","cross"
108,4.75,4.5,15,"left","yes","co"
108,3,4,15,"right","yes","cross"
111,3.3333335,4,18,"left","no","cross"
111,6,4.625,18,"right","no","co"
111,3.5,4,18,"left","yes","cross"
111,6,4.8333335,18,"right","yes","co"
113,5.3333333,4.8888888,18,"left","no","co"
113,3.5555556,3.2222223,18,"right","no","cross"
113,5.1666667,4.5,18,"left","yes","co"
113,3.3333333,3,18,"right","yes","cross"
114,2.4545455,1.7272727,23,"left","no","cross"
114,2.8181818,2.9166667,23,"right","no","cross"
114,2.8333335,1.8333334,23,"left","yes","cross"
114,3.25,2.4000001,23,"right","yes","cross"
115,5,4.4000001,18,"left","no","co"
115,2.625,2.625,18,"right","no","cross"
115,5.1666667,4.8333335,18,"left","yes","co"
115,2.5999999,2,18,"right","yes","cross"
117,4.6363637,4.6363635,22,"left","no","co"
117,4.5999999,4.4545455,22,"right","no","co"
117,4.5999999,4.4000001,22,"left","yes","co"
117,4.25,4.5999999,22,"right","yes","co"
118,5.5555556,5.3333335,17,"left","no","co"
118,1.5,1.5,17,"right","no","cross"
118,5.5,5.5,17,"left","yes","co"
118,1,1.6666666,17,"right","yes","cross"
119,4.875,5.4444447,17,"left","no","co"
119,2.5,3.75,17,"right","no","cross"
119,4.6666667,5.6666665,17,"left","yes","co"
119,2,3.5,17,"right","yes","cross"
120,2.5555553,2.7,18,"left","no","cross"
120,5.625,4.875,18,"right","no","co"
120,2.4000001,2.1666667,18,"left","yes","cross"
120,5.5,4.6666665,18,"right","yes","co"
121,5.2,3.5555556,20,"left","no","co"
121,3.5,3.4545455,20,"right","no","cross"
121,5.3333333,3.2,20,"left","yes","co"
121,3,4,20,"right","yes","cross"
122,4.6666667,5.5,16,"left","no","co"
122,2.9000001,2.8,16,"right","no","cross"
122,4.3333333,4.6666665,16,"left","yes","co"
122,3,2.5,16,"right","yes","cross"
125,4.8333333,5.4285712,22,"left","no","co"
125,3.6666667,4.1333332,22,"right","no","cross"
125,5.5,5.75,22,"left","yes","co"
125,3.875,4.5,22,"right","yes","cross"
129,4.6666667,5.1999998,12,"left","no","co"
129,3,3.8571429,12,"right","no","cross"
129,5,5,12,"left","yes","co"
129,3,4,12,"right","yes","cross"
131,1.5,2.25,17,"left","no","cross"
131,5.5,3.6666667,17,"right","no","co"
131,1.8000002,3,17,"left","yes","cross"
131,6.3333335,3.3333333,17,"right","yes","co"
132,4.8,5.5454545,19,"left","no","co"
132,1.75,1.75,19,"right","no","cross"
132,6,5.5,19,"left","yes","co"
132,2,2.5,19,"right","yes","cross"
133,5.5454545,4.909091,21,"left","no","co"
133,1.7,2,21,"right","no","cross"
133,5.4285715,4.8571429,21,"left","yes","co"
133,1,1.8333334,21,"right","yes","cross"
134,3.090909,3.090909,24,"left","no","cross"
134,5.4166665,4.3846154,24,"right","no","co"
134,3,3,24,"left","yes","cross"
134,5.3333335,4.5,24,"right","yes","co"
135,5.75,5.6666665,22,"left","no","co"
135,1.9,2.9000001,22,"right","no","cross"
135,6,5.7777777,22,"left","yes","co"
135,2,2.3333333,22,"right","yes","cross"
137,1.6363635,1.7272727,20,"left","no","cross"
137,6.3333335,5.8888888,20,"right","no","co"
137,2.5,3,20,"left","yes","cross"
137,6,5,20,"right","yes","co"
139,5.8,5.1999998,28,"left","no","co"
139,1.6153846,2,28,"right","no","cross"
139,6.1428572,5.8571429,28,"left","yes","co"
139,1.5714285,2.7142856,28,"right","yes","cross"
140,4.3333333,3.6666667,20,"left","no","co"
140,4.625,3.25,20,"right","no","co"
140,4.3333333,3.3333333,20,"left","yes","co"
140,5.75,3.25,20,"right","yes","co"
141,4.75,4.3333335,19,"left","no","co"
141,2.8571429,2.7142856,19,"right","no","cross"
141,3.8000002,4.5999999,19,"left","yes","cross"
141,3.25,3.25,19,"right","yes","cross"
144,3.5714288,3.8571429,19,"left","no","cross"
144,4.9166665,1.9166666,19,"right","no","co"
144,3,4,19,"left","yes","cross"
144,4.8888888,2.1111112,19,"right","yes","co"
147,4.909091,4.3636365,23,"left","no","co"
147,3.25,2.9166667,23,"right","no","cross"
147,4.75,4.375,23,"left","yes","co"
147,3.125,2.875,23,"right","yes","cross"
149,5.3636363,5.6363635,19,"left","no","co"
149,3.125,2.375,19,"right","no","cross"
149,6,6,19,"left","yes","co"
149,3.5,3,19,"right","yes","cross"
151,3,3.4285715,17,"left","no","cross"
151,4.9000001,3.9000001,17,"right","no","co"
151,2.6666665,3,17,"left","yes","cross"
151,4.8000002,3.4000001,17,"right","yes","co"
152,4.8571429,3.5555556,25,"left","no","co"
152,3.4444444,3.375,25,"right","no","cross"
152,5,2.6666667,25,"left","yes","co"
152,6,3,25,"right","yes","co"
153,5.3636363,5.2727275,18,"left","no","co"
153,1.5714285,1.7142857,18,"right","no","cross"
153,5.5999999,4.8000002,18,"left","yes","co"
153,1.75,1.5,18,"right","yes","cross"
154,3.8461537,3.4615386,22,"left","no","cross"
154,3.8888888,3.8888888,22,"right","no","cross"
154,3.7142859,3.5714285,22,"left","yes","cross"
154,3.75,3.75,22,"right","yes","cross"
156,4.25,3.6153846,21,"left","no","co"
156,3,3.625,21,"right","no","cross"
156,3.5,4,21,"left","yes","cross"
156,3,4.25,21,"right","yes","cross"
157,2.5,3.2222223,23,"left","no","cross"
157,4.5999999,4.0714288,23,"right","no","co"
